               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077766,            0.050079,            0.023272,             0.38544,             0.54431,             0.47338,             0.26404,            0.059154,            0.028999,            0.011274,              0.0937,              0.0007,              0.0007
                   1,            0.060125,            0.050526,            0.024126,             0.53852,             0.57747,             0.58575,             0.35103,            0.051421,            0.028607,            0.010483,            0.086495,            0.001495,            0.001495
                   2,            0.054648,            0.052911,            0.023163,             0.62846,             0.60307,             0.65158,             0.39803,            0.048378,            0.028577,            0.010021,            0.079285,           0.0022848,           0.0022848
                   3,              0.0524,            0.050039,             0.02337,             0.62108,             0.64816,             0.67389,              0.4104,            0.047029,            0.028547,           0.0097893,            0.072069,           0.0030693,           0.0030693
                   4,            0.050708,            0.049306,             0.02038,             0.66876,             0.64992,             0.68793,             0.41153,            0.047295,            0.028381,           0.0094325,            0.064849,           0.0038485,           0.0038485
                   5,            0.050306,            0.046632,            0.019131,             0.62939,             0.69817,             0.68505,             0.39718,            0.048821,            0.027384,           0.0090949,            0.057622,           0.0046225,           0.0046225
                   6,            0.052505,            0.047529,            0.018658,             0.65924,             0.69189,             0.70246,             0.38156,            0.051063,            0.026435,           0.0086227,            0.050391,           0.0053911,           0.0053911
                   7,            0.053993,            0.041463,            0.016278,              0.4652,              0.6818,             0.60498,              0.3509,            0.055604,            0.025145,           0.0077829,            0.043154,           0.0061545,           0.0061545
                   8,            0.053264,            0.050403,            0.015946,             0.61702,             0.63814,             0.64791,             0.38497,            0.050604,            0.025105,           0.0074407,            0.035913,           0.0069126,           0.0069126
                   9,            0.054105,             0.04289,            0.015338,             0.65071,             0.66181,             0.68407,             0.40763,            0.051076,            0.024318,           0.0075168,            0.028665,           0.0076654,           0.0076654
                  10,            0.054637,            0.040998,            0.015702,             0.70045,             0.62217,             0.68017,               0.352,            0.054824,            0.023664,           0.0076414,            0.021413,           0.0084129,           0.0084129
                  11,            0.056861,            0.045648,            0.014249,             0.69441,             0.62836,             0.70252,             0.39015,            0.053282,             0.02337,           0.0074073,            0.014155,           0.0091552,           0.0091552
                  12,            0.055721,            0.042812,            0.014711,             0.70981,              0.6399,             0.70358,             0.37006,            0.056005,            0.022996,           0.0076145,            0.009604,            0.009604,            0.009604
                  13,            0.056576,            0.045163,            0.015135,             0.57376,             0.70438,             0.71314,             0.38523,            0.050796,            0.023957,           0.0084324,            0.009604,            0.009604,            0.009604
                  14,            0.051995,            0.043245,            0.015091,             0.71445,             0.70972,             0.75493,             0.44041,            0.046871,            0.023712,            0.008061,            0.009571,            0.009571,            0.009571
                  15,            0.050883,            0.045213,            0.014812,              0.6807,             0.71604,             0.74386,             0.42103,            0.047756,            0.023875,            0.007812,            0.009538,            0.009538,            0.009538
