               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085445,            0.022512,                   0,             0.53245,             0.47101,             0.48851,             0.26873,            0.064856,            0.009877,                   0,            0.070201,            0.003311,            0.003311
                   1,            0.055953,            0.020014,                   0,             0.75951,             0.64493,             0.71303,             0.45251,            0.051098,           0.0073647,                   0,             0.04007,           0.0065127,           0.0065127
                   2,            0.049313,            0.018218,                   0,             0.79264,             0.68406,             0.75616,             0.44832,            0.050965,           0.0066792,                   0,           0.0098062,           0.0095825,           0.0095825
                   3,             0.04591,            0.018007,                   0,             0.80103,             0.65652,             0.74957,             0.46891,            0.048282,            0.006978,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.043231,             0.01785,                   0,             0.79934,              0.6913,             0.77806,             0.49507,             0.04467,           0.0070774,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.04106,            0.016862,                   0,             0.85702,             0.73043,             0.83341,             0.54133,            0.042708,            0.006356,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.039247,            0.016821,                   0,             0.81607,             0.73304,             0.81797,              0.5451,            0.042864,           0.0064227,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.038586,            0.016477,                   0,             0.86107,             0.72464,             0.83219,             0.58487,            0.039764,           0.0061143,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.038011,            0.016054,                   0,             0.84683,             0.77721,             0.85522,             0.57809,            0.040207,           0.0058424,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.036169,            0.015371,                   0,             0.86515,             0.78103,             0.86472,             0.60546,            0.037872,           0.0057693,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.035114,            0.014985,                   0,             0.87612,             0.75797,             0.86296,             0.58462,            0.038733,           0.0058426,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.035045,            0.015182,                   0,             0.88138,             0.77534,             0.85442,             0.59414,            0.038884,           0.0059178,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.033994,            0.015073,                   0,             0.88482,             0.78841,               0.878,             0.61009,             0.03772,           0.0057334,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.03436,             0.01512,                   0,             0.83459,             0.79275,             0.86969,             0.60597,            0.037781,           0.0057132,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.032993,            0.014768,                   0,             0.91355,             0.78551,             0.87777,             0.61298,            0.035833,           0.0056569,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.032352,            0.014239,                   0,             0.86169,             0.81266,             0.88236,             0.62916,            0.036483,           0.0055524,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.031687,            0.014065,                   0,             0.89863,              0.7837,             0.88614,             0.63489,            0.036373,           0.0055841,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.032028,            0.014185,                   0,             0.85474,             0.83333,             0.88165,             0.61451,            0.036847,           0.0054708,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.030566,            0.014017,                   0,              0.8982,              0.8056,             0.89075,             0.62771,            0.036381,           0.0054843,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.030411,            0.014022,                   0,             0.92766,             0.79914,             0.89051,              0.6303,            0.036049,           0.0054457,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.030509,            0.013515,                   0,             0.93001,             0.78954,              0.8905,             0.64468,            0.036489,            0.005555,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.030058,            0.013814,                   0,             0.88743,              0.8226,             0.88262,             0.62535,            0.036108,            0.005596,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.030102,            0.013444,                   0,             0.90117,             0.83259,             0.89573,             0.64431,             0.03596,            0.005519,                   0,            0.005842,            0.005842,            0.005842
