               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032676,            0.072046,                   0,              0.9873,             0.97292,             0.99295,             0.74941,            0.014693,            0.034015,                   0,            0.070517,           0.0032759,           0.0032759
                   1,            0.028073,            0.048765,                   0,             0.98842,             0.98419,             0.99417,             0.75283,             0.01577,            0.033086,                   0,            0.040386,           0.0064783,           0.0064783
                   2,            0.029988,            0.052916,                   0,             0.99234,             0.98441,             0.99412,             0.66731,            0.016508,            0.036019,                   0,            0.010124,           0.0095488,           0.0095488
                   3,            0.030301,            0.049285,                   0,              0.9963,                0.99,             0.99481,             0.75739,             0.01435,            0.030838,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.029533,            0.043865,                   0,             0.98916,             0.97322,             0.99376,             0.72715,            0.017724,             0.03301,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.029533,            0.044049,                   0,              0.9963,             0.99073,             0.99489,              0.7874,            0.013309,            0.028364,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.02596,            0.043194,                   0,              0.9968,             0.99382,              0.9949,             0.79621,            0.011677,            0.027768,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.02545,            0.041291,                   0,             0.99791,             0.99484,              0.9949,             0.82014,            0.010928,            0.025606,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.025849,            0.042159,                   0,             0.99828,              0.9932,             0.99483,             0.82012,            0.010987,            0.027392,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.024932,             0.04071,                   0,             0.99832,               0.994,             0.99487,             0.83119,            0.010401,            0.025309,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.02391,            0.040254,                   0,             0.99852,             0.99508,             0.99486,             0.82837,            0.010322,            0.025383,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.022288,             0.03885,                   0,             0.99849,             0.99436,              0.9949,             0.82923,            0.010014,             0.02533,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.02201,            0.039802,                   0,             0.99854,             0.99547,             0.99477,             0.81659,            0.010618,            0.026616,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.023065,            0.039269,                   0,             0.99828,             0.99621,             0.99485,             0.85168,           0.0093721,            0.023876,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.021696,            0.039509,                   0,             0.99852,             0.99596,             0.99486,             0.84664,           0.0096895,            0.023775,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.02087,            0.037653,                   0,             0.99852,              0.9953,             0.99485,             0.85293,           0.0091254,            0.023417,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.020949,            0.037589,                   0,             0.99828,              0.9963,             0.99494,             0.84565,           0.0098519,            0.023696,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.021662,            0.037685,                   0,             0.99828,              0.9965,              0.9949,             0.85781,           0.0091624,            0.023724,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.019772,            0.036123,                   0,             0.99914,             0.99509,             0.99493,             0.84031,           0.0098707,            0.023686,                   0,            0.006634,            0.006634,            0.006634
                  19,             0.02093,              0.0376,                   0,             0.99924,             0.99534,             0.99492,              0.8585,           0.0090428,            0.022497,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.021603,             0.03579,                   0,             0.99907,             0.99522,             0.99495,             0.84328,           0.0095402,            0.022685,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.01993,            0.036629,                   0,             0.99889,             0.99589,             0.99495,             0.86199,           0.0088067,            0.022915,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.020407,            0.035512,                   0,             0.99797,             0.99657,             0.99498,             0.86673,           0.0088649,            0.022728,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.020608,            0.035506,                   0,             0.99902,             0.99621,             0.99498,               0.871,           0.0086742,            0.022411,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.019766,            0.034467,                   0,             0.99865,             0.99724,             0.99496,             0.86352,           0.0088158,            0.022906,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.019116,            0.034557,                   0,             0.99914,             0.99643,             0.99497,             0.87531,           0.0084268,            0.021636,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.019463,            0.034834,                   0,             0.99877,              0.9968,             0.99495,              0.8643,           0.0087472,            0.022037,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.019824,            0.034858,                   0,             0.99911,             0.99706,             0.99499,             0.87634,           0.0084157,            0.021547,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.018689,            0.033961,                   0,             0.99889,             0.99657,             0.99499,             0.87469,           0.0084177,            0.021458,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.018855,            0.034488,                   0,             0.99898,              0.9973,             0.99499,             0.88072,           0.0082197,            0.021714,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.018392,            0.034785,                   0,              0.9991,              0.9962,               0.995,              0.8871,           0.0080029,            0.020963,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.017966,            0.033429,                   0,             0.99939,              0.9966,               0.995,               0.887,           0.0079346,            0.020996,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.018624,            0.033333,                   0,             0.99856,             0.99804,             0.99499,             0.88613,           0.0078691,            0.020651,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.017322,            0.033218,                   0,             0.99888,             0.99767,               0.995,             0.88217,           0.0080987,             0.02074,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.018637,            0.033553,                   0,             0.99905,             0.99743,               0.995,             0.89365,           0.0077299,            0.020523,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.018845,            0.033181,                   0,             0.99951,             0.99745,               0.995,              0.8896,           0.0078386,            0.020605,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.017859,            0.033767,                   0,             0.99963,             0.99704,               0.995,             0.89299,           0.0076874,            0.020175,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.018326,            0.032933,                   0,             0.99914,             0.99768,               0.995,             0.89547,           0.0076242,            0.020127,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.017353,            0.032756,                   0,             0.99957,             0.99779,               0.995,             0.89472,           0.0075333,             0.01985,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.017241,            0.031486,                   0,             0.99988,             0.99753,               0.995,             0.89519,            0.007523,            0.019955,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.01749,            0.032691,                   0,             0.99934,             0.99804,               0.995,             0.89616,           0.0074845,            0.019913,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.017709,            0.032271,                   0,             0.99975,             0.99749,               0.995,               0.895,           0.0075104,             0.01988,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.01688,             0.03081,                   0,             0.99981,             0.99755,               0.995,             0.89811,           0.0074907,            0.019879,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.016571,             0.03147,                   0,             0.99975,             0.99793,               0.995,             0.89933,           0.0073981,            0.019733,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.017462,              0.0317,                   0,             0.99981,             0.99718,               0.995,             0.90061,            0.007327,            0.019351,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.016684,            0.031732,                   0,             0.99975,             0.99779,               0.995,             0.90162,           0.0072968,            0.019297,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.016397,            0.031312,                   0,             0.99975,             0.99779,               0.995,             0.90291,           0.0072759,            0.019378,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.016435,            0.031447,                   0,             0.99973,             0.99755,               0.995,             0.90355,           0.0072797,            0.019206,                   0,            0.000892,            0.000892,            0.000892
